Time,Frequency,Amplitude
2024-01-04 19:08:08.139189,"320204000
","-87.5045700073
"
2024-01-04 19:08:08.155147,"325359000
","-87.2509002686
"
2024-01-04 19:08:08.170105,"324939000
","-85.4602432251
"
2024-01-04 19:08:08.186064,"320424000
","-85.5632629395
"
2024-01-04 19:08:08.202027,"320843000
","-85.0259475708
"
2024-01-04 19:08:08.217508,"319275000
","-85.8685302734
"
2024-01-04 19:08:08.232466,"321792000
","-87.3269042969
"
2024-01-04 19:08:08.249422,"319245000
","-86.8369674683
"
2024-01-04 19:08:08.264406,"320394000
","-85.6285171509
"
2024-01-04 19:08:08.279341,"326647000
","-86.3231201172
"
2024-01-04 19:08:08.296296,"319564000
","-84.1104888916
"
2024-01-04 19:08:08.312261,"319594000
","-87.0000076294
"
2024-01-04 19:08:08.327744,"320484000
","-85.3393936157
"
2024-01-04 19:08:08.343702,"322092000
","-86.2328872681
"
2024-01-04 19:08:08.358661,"322202000
","-85.7102203369
"
2024-01-04 19:08:08.374617,"324789000
","-85.1416473389
"
2024-01-04 19:08:08.391572,"319704000
","-84.8997039795
"
2024-01-04 19:08:08.405538,"320533000
","-86.2386932373
"
2024-01-04 19:08:08.422022,"319345000
","-84.7018890381
"
2024-01-04 19:08:08.438023,"326587000
","-86.2200927734
"
2024-01-04 19:08:08.452983,"326148000
","-85.8052215576
"
2024-01-04 19:08:08.469938,"319375000
","-86.3185501099
"
2024-01-04 19:08:08.483901,"324809000
","-86.1248168945
"
2024-01-04 19:08:08.500859,"320993000
","-85.96118927
"
2024-01-04 19:08:08.516338,"320673000
","-87.0198059082
"
2024-01-04 19:08:08.533296,"322092000
","-86.678062439
"
2024-01-04 19:08:08.548251,"325079000
","-85.1422805786
"
2024-01-04 19:08:08.564209,"320923000
","-85.9689788818
"
2024-01-04 19:08:08.579198,"321233000
","-86.6059341431
"
2024-01-04 19:08:08.596154,"324999000
","-86.2644271851
"
2024-01-04 19:08:08.612123,"323271000
","-85.5824127197
"
2024-01-04 19:08:08.627611,"327197000
","-86.952255249
"
2024-01-04 19:08:08.641569,"320404000
","-83.9239120483
"
2024-01-04 19:08:08.657528,"320454000
","-86.3886184692
"
2024-01-04 19:08:08.674486,"319355000
","-87.1395874023
"
2024-01-04 19:08:08.690444,"320923000
","-87.2032470703
"
2024-01-04 19:08:08.705411,"321512000
","-87.2560272217
"
2024-01-04 19:08:08.720884,"320563000
","-84.0383377075
"
2024-01-04 19:08:08.737838,"320364000
","-85.130531311
"
2024-01-04 19:08:08.752798,"321423000
","-86.2711181641
"
2024-01-04 19:08:08.768771,"320583000
","-87.240447998
"
2024-01-04 19:08:08.785720,"328995000
","-85.9146118164
"
2024-01-04 19:08:08.801680,"321053000
","-86.6011123657
"
2024-01-04 19:08:08.817157,"321732000
","-86.80493927
"
2024-01-04 19:08:08.834112,"327487000
","-85.7530822754
"
2024-01-04 19:08:08.849102,"325998000
","-86.5642547607
"
2024-01-04 19:08:08.865059,"320454000
","-84.5387420654
"
2024-01-04 19:08:08.881016,"320653000
","-85.3134307861
"
2024-01-04 19:08:08.896979,"322052000
","-84.8722381592
"
2024-01-04 19:08:08.912940,"325239000
","-85.6856765747
"
2024-01-04 19:08:08.927426,"321762000
","-85.6112518311
"
2024-01-04 19:08:08.945382,"325139000
","-84.8521270752
"
2024-01-04 19:08:08.960343,"322801000
","-86.5721588135
"
2024-01-04 19:08:08.974299,"320543000
","-86.6286773682
"
2024-01-04 19:08:08.990258,"328615000
","-84.5086288452
"
2024-01-04 19:08:09.006224,"327147000
","-85.4442977905
"
2024-01-04 19:08:09.021707,"320084000
","-86.5761871338
"
2024-01-04 19:08:09.037665,"325099000
","-85.9991455078
"
